Altium Designer Pick and Place Locations
C:\Users\Administrator\Desktop\PCB\小车PCB\Project Outputs for STM32F407ZGT6_Car\Pick Place for STM32F4.txt

========================================================================================================================
File Design Information:

Date:       13/06/21
Time:       08:32
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment       Layer    Center-X(mm) Center-Y(mm) Rotation Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) 
L2         22uH          TopLayer 24.6500      38.2250      180      24.6500   38.2250   27.0000   38.2377   
L1         15mH          TopLayer 4.1000       63.4000      270      4.1000    63.4000   4.0873    65.7500   
C60        104nF         TopLayer 81.4561      15.9802      180      81.4561   15.9802   82.2261   15.9802   
C59        104           TopLayer 92.3735      21.4235      180      92.3735   21.4235   93.1435   21.4235   
X3         12M           TopLayer 80.8456      10.5664      235      80.8456   10.5664   80.8212   11.9263   
USB2       USB-5P        TopLayer 96.7250      8.8750       180      98.2250   8.8750    95.5500   7.5750    
U11        CH340G        TopLayer 88.9250      14.7750      270      88.9250   14.7750   86.3250   19.2200   
C58        22pF          TopLayer 81.5500      6.8750       0        81.5500   6.8750    80.7800   6.8750    
C57        22pF          TopLayer 81.4561      14.3002      0        81.4561   14.3002   80.6861   14.3002   
U10        nRF24L01      TopLayer 18.7500      19.0000      180      18.7500   19.0000   18.7500   14.5550   
R28        0R            TopLayer 59.7916      34.8732      90       59.7916   34.8732   59.7916   34.1032   
R26        0R            TopLayer 59.7916      39.4352      90       59.7916   39.4352   59.7916   38.6652   
U9         mpu6050       TopLayer 47.7394      45.2286      270      47.7394   45.2286   45.7394   46.4786   
R33        4.7K          TopLayer 46.1506      39.7278      270      46.1506   39.7278   46.1506   40.4978   
R32        4.7K          TopLayer 47.1297      50.5714      90       47.1297   50.5714   47.1297   49.8014   
R31        4.7K          TopLayer 44.9580      50.5714      90       44.9580   50.5714   44.9580   49.8014   
C56        0.1uf         TopLayer 44.1354      39.6786      90       44.1354   39.6786   44.1354   38.9086   
C55        0.1uf         TopLayer 48.0810      39.7278      90       48.0810   39.7278   48.0810   38.9578   
C54        2200pf        TopLayer 49.3014      50.5714      270      49.3014   50.5714   49.3014   51.3414   
C53        0.01uf        TopLayer 41.9637      39.6786      270      41.9637   39.6786   41.9637   40.4486   
X2         32.768k       TopLayer 62.0314      48.6500      270      62.0314   48.6500   62.0314   49.9000   
X1         25M           TopLayer 55.1220      43.7014      180      55.1220   43.7014   56.2220   44.5014   
USB1       USB-A         TopLayer 11.7375      39.1724      90       9.0170    38.8874   13.7695   35.8704   
U8         STM32F407ZGT6 TopLayer 79.0956      43.8658      0        79.0956   43.8658   68.5456   52.6158   
U7         IP6525T       TopLayer 25.3773      31.7124      270      25.5043   31.7124   22.4690   33.6174   
U6         LM358         TopLayer 42.4750      81.2810      180      42.4750   81.2810   44.3800   84.6810   
U5         STM32F030F4P6 TopLayer 43.3070      66.3956      0        43.3070   66.3956   40.5070   69.3206   
U4         TPS5450       TopLayer 17.5094      64.1206      0        17.5094   64.1206   15.6044   61.5206   
U3         AMS1117       TopLayer 29.5121      54.7708      270      29.4396   54.6043   26.3986   57.0793   
U2         TB6612_2      TopLayer 36.0000      15.1500      0        36.0000   15.1500   32.4250   11.7000   
U1         TB6612_1      TopLayer 59.2000      82.5750      180      59.2000   82.5750   62.7750   86.0250   
S4         微动开关          TopLayer 84.6328      87.4536      0        84.6328   87.4776   82.1328   87.4536   
S3         ON            TopLayer 23.1154      81.2800      270      23.1394   81.2800   23.1154   83.7800   
S2         OFF           TopLayer 27.2302      81.2800      270      27.2542   81.2800   27.2302   83.7800   
S1         SW            TopLayer 43.2320      61.0416      180      43.2320   61.0176   45.7320   61.0416   
R30        10K           TopLayer 76.0222      28.3718      270      76.0222   28.3718   76.0222   29.1418   
R29        10K           TopLayer 73.3552      59.6980      90       73.3552   59.6980   73.3552   58.9280   
R27        10K           TopLayer 73.3806      88.0955      90       73.3806   88.0955   73.3806   87.3255   
R25        1K            TopLayer 56.6978      34.8332      90       56.6978   34.8332   56.6978   34.0632   
