Comment,Designator,Footprint,Quantity
0.1uF,"C1, C2, C4, C5, C24, C32, C33, C38, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C55, C56",0603_C,22
10uF,"C3, C6",CASE-B_3528,2
10nF,"C7, C21, C25, C29",0603_C,4
100uF,"C8, C11",CASE-C_6032,2
220uF,"C9, C15",CASE-E_7343,2
100nF,"C10, C13, C18, C23",0603_C,4
10uF,"C12, C19, C26",1206_C,3
100uF,C14,CASE-B_3528,1
100uF,C16,1206_C,1
1uF,"C17, C20, C22",0603_C,3
10uF,C27,0603_C,1
1nF,C28,0603_C,1
2.2uF,"C30, C31",0603_C,2
22pF,"C34, C35, C36, C37, C57, C58",0603_C,6
1uF 6.3V,C39,0603_C,1
100nF 6.3V,C40,0603_C,1
0.01uf,C53,0603_C,1
2200pf,C54,0603_C,1
104,C59,0603_C,1
104,C60,0603_C,1
Diode,"D1, D3",SMB N,2
Diode,"D2, D4",1206,2
红灯,D5,0805_LED_S1,1
绿灯,D6,0805_LED_S1,1
连接器XH2.54-LI-7P,J1,XH2.54-LI-7P,1
连接器XH2.54-LI-7P,J2,XH2.54-LI-7P,1
连接器XH2.54-LI-7P,J3,XH2.54-LI-7P,1
连接器XH2.54-WI-6P,J4,XH2.54-WI-6P,1
连接器XH2.54-WI-6P,J5,XH2.54-WI-6P,1
连接器XH2.54-WI-6P,J6,XH2.54-WI-6P,1
连接器XH2.54-WI-6P,J7,XH2.54-WI-6P,1
XT60,J8,TX60-LI-S,1
连接器XH2.54-LI-5P,J12,XH2.54-LI-5P,1
连接器XH2.54-WI-4P,J13,XH2.54-WI-4P,1
连接器XH2.54-WI-4P,J14,XH2.54-WI-4P,1
连接器XH2.54-WI-4P,J15,XH2.54-WI-4P,1
连接器XH2.54-WI-4P,J16,XH2.54-WI-4P,1
连接器XH2.54-WI-4P,J17,XH2.54-WI-4P,1
连接器XH2.54-LI-2P,J18,XH2.54-LI-2P,1
NTC 1K,J？1,LC-0805_R,1
连接器XH2.54-WI-5P,JP1,XH2.54-WI-5P,1
15uH,L1,IND-SMD_L6.0-W6.0_FNR60XXS,1
22uH,L2,IND-SMD_L6.0-W6.0_FNR60XXS,1
黄灯,"LED1, LED4",LC-0603_LED_S1,2
RGB-3528,LED2,RGB-3528,1
蓝灯,"LED3, LED5",LC-0603_LED_S1,2
BUZZER,LS1,Beep,1
PMOS,"Q1, Q2",TO-252-2-180,2
NPN,Q3,SOT-23(SOT-23-3),1
PNP,Q4,SOT-23(SOT-23-3),1
10K,"R1, R3, R4, R13, R17, R23, R27, R29, R30",0603_R,9
3.16K,R2,0603_R,1
1K,"R5, R6, R8, R12, R15, R20, R24, R25",0603_R,8
18K,"R7, R16",0603_R,2
3K,R9,0603_R,1
500R,R10,0603_R,1
0.02R,R11,2512_R,1
4.7K,"R14, R18, R31, R32, R33",0603_R,5
6K,R19,0603_R,1
2R,R21,0603_R,1
3K,R22,0603_Rx4,1
0R,"R26, R28",0603_L,2
switch,S1,微动开关-1,1
switch,S2,微动开关-1,1
switch,S3,微动开关-1,1
switch,S4,微动开关-1,1
TB6612,U1,SSOP-24_208mil,1
TB6612,U2,SSOP-24_208mil,1
AMS1117-3.3,U3,AMS1117,1
TPS5450,U4,SOP-8_EP_150mil,1
STM32F030F4P6,U5,STM-TSSOP20_L,1
LM358,U6,SOIC-8_208mil,1
IP6525T,U7,IP6525T,1
STM32F407ZGT6,U8,STM-LQFP144_N,1
mpu6050,U9,QFN-24_4x4x05P,1
CH340G,U11,SOIC-16_150mil,1
USB-A,USB1,USB-A,1
USB-5P-micro,USB2,micro_usb_47589,1
25M,X1,SMD-3225_4P,1
32.768k,X2,SMD-3215_2P FC - 135,1
12M,X3,SMD-3225_4P,1
